Country,Sub-sector,Name of the Plant,,Location,Status ( Whether Operational or Not),Capacity ( in MW),Operator,Owner,Latitude,Longitude,Link
Kenya,Geothermal,Akiira One geothermal power plant,Geothermal,Nakuru,pre-construction,70,Akiira Geothermal,Frontier Energy [100%],-0.3024,36.0805,https://www.gem.wiki/Akiira_One_geothermal_power_plant
,Geothermal,Akiira One geothermal power plant,,Nakuru,pre-construction,70,Akiira Geothermal,Frontier Energy [100%],-0.3024,36.0805,https://www.gem.wiki/Akiira_One_geothermal_power_plant
,Geothermal,Baringo-Silali geothermal power plant,,Baringo Province,pre-construction,100,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],0.91886,36.1834,https://www.gem.wiki/Baringo-Silali_geothermal_power_plant
,Geothermal,BVC geothermal power plant,,,pre-construction,70,,Olsuswa Energy Ltd,2.1536,35.78748,https://www.gem.wiki/BVS_geothermal_power_plant
,Geothermal,BVC geothermal power plant,,,announced,70,,Olsuswa Energy Ltd,2.1536,35.78748,https://www.gem.wiki/BVS_geothermal_power_plant
,Geothermal,Eburru geothermal power plant,,,operating,2.5,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.64075,36.24887,https://www.gem.wiki/Eburru_geothermal_power_plant
,Geothermal,EcoCloud-G42 Mega Data Center geothermal power plant,,,pre-construction,100,,Olkaria EcoCloud,-0.9116443,36.3304996,https://www.gem.wiki/EcoCloud-G42_Mega_Data_Center_geothermal_power_plant
,Geothermal,Korosi geothermal power plant,,,pre-construction,100,Geothermal Development Company (GDC),Geothermal Development Company (GDC),0.91853,36.18405,https://www.gem.wiki/Korosi_geothermal_power_plant
,Geothermal,Longonot geothermal power plant,,,pre-construction,35,Pertamina Geothermal Energy,,-0.8964646,36.4761962,https://www.gem.wiki/Longonot_geothermal_power_plant
,Geothermal,Longonot geothermal power plant,,,pre-construction,105,Pertamina Geothermal Energy,,-0.8964646,36.4761962,https://www.gem.wiki/Longonot_geothermal_power_plant
,Geothermal,Menengai 1 geothermal power plant,,Nakuru,operating,35,Orpower Twenty Two,Geothermal Development Company (GDC) [100%],-0.2137,36.0591,https://www.gem.wiki/Menengai_1_geothermal_power_plant
,Geothermal,Menengai 1 geothermal power plant,,Nakuru,construction,35,Quantum East Africa Power,Geothermal Development Company (GDC) [100%],-0.2137,36.0591,https://www.gem.wiki/Menengai_1_geothermal_power_plant
,Geothermal,Menengai 1 geothermal power plant,,Nakuru,construction,35,Sosian Energy,Geothermal Development Company (GDC) [100%],-0.2137,36.0591,https://www.gem.wiki/Menengai_1_geothermal_power_plant
,Geothermal,Menengai 2 geothermal power plant,,Nakuru,pre-construction,60,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],-0.196,36.063,https://www.gem.wiki/Menengai_2_geothermal_power_plant
,Geothermal,Menengai 3 geothermal power plant,,Nakuru,announced,300,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],-0.196,36.063,https://www.gem.wiki/Menengai_3_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,retired,15,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,construction,21,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,retired,15,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,construction,21,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,retired,15,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,construction,21,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,operating,70,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.891,36.2961,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,operating,70,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.891,36.2961,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 1 geothermal power plant,,Nakuru,operating,83,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8893,36.2557,https://www.gem.wiki/Olkaria_1_geothermal_power_plant
,Geothermal,Olkaria 2 geothermal power plant,,Nakuru,operating,35,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_2_geothermal_power_plant
,Geothermal,Olkaria 2 geothermal power plant,,Nakuru,operating,35,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_2_geothermal_power_plant
,Geothermal,Olkaria 2 geothermal power plant,,Nakuru,operating,35,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_2_geothermal_power_plant
,Geothermal,Olkaria 3 geothermal power plant,,Nakuru,operating,59,Ormat Technology,Ormat Technology Inc [100%],-0.889,36.2562,https://www.gem.wiki/Olkaria_3_geothermal_power_plant
,Geothermal,Olkaria 3 geothermal power plant,,Nakuru,operating,36,Ormat Technology,Ormat Technology Inc [100%],-0.889,36.2562,https://www.gem.wiki/Olkaria_3_geothermal_power_plant
