,,,,Unutilized Potential,GWh (or MW),Estimated additional feasible renewable potential not yet exploited.,Shows the headroom for future expansion; also important for policy prioritization and investment decisions.,"- National Renewable Energy Agencies
- Technical Feasibility Studies
- Global Resource Atlases (e.g., Global Wind Atlas, Global Solar Atlas)"
,,,,Levelized Cost of Electricity (LCOE),$/kWh,The average net present cost of electricity generation over the lifetime of the plant.,Key indicator for cost-competitiveness of each renewable technology and for comparing different project proposals.,"- IRENA LCOE Databases
- World Bank country energy reports
- Consultancy Reports (e.g., BloombergNEF, Wood Mackenzie)"
,,,,Share of National Energy Mix,%,Fraction of the country’s total electricity generation mix that comes from renewables.,Demonstrates the progress toward decarbonization and energy transition at a national level.,"- National Grid Operators
- Annual Energy Balance Reports
- IEA Energy Statistics"
,,,,Investment Volume,$ million,Total financial investment committed to renewable power projects per year.,Helps track market attractiveness and funding trends for renewables; an important signal for investors and policymakers.,"- National Investment Authorities
- UNEP Finance Initiative
- Deal Tracking Databases (e.g., BloombergNEF, Climate Policy Initiative’s tracking)"
,,,,Jobs Created,Number,Direct and indirect jobs generated by renewable energy projects (annual or cumulative).,"Highlights socioeconomic benefits of renewables, crucial for just transition policies and workforce development.","- National Labour/Employment Surveys
- ILO (International Labour Organization) data
- Project-Specific Impact Assessments"
,,,,GHG Emissions Avoided,tCO₂e,Estimated annual reduction of CO₂ (and possibly other greenhouse gases) due to renewable energy replacing fossil-based electricity.,Reflects climate benefits and supports reporting on NDC (Nationally Determined Contributions) commitments.,"- National GHG Inventories
- UNFCCC reporting
- CDM or Voluntary Carbon Programs"
,,,Geothermal,Well Productivity,MW/well,Average power output per geothermal well (over a specified time period).,Indicates resource quality and drilling success. Important for project economics and determining how many wells are needed per MW output.,"- Geothermal Development Companies (e.g., GDC in Kenya)
- National Geothermal Resource Surveys
- Project Operators"
,,,,Resource Temperature,°C,Average temperature of the geothermal reservoir.,Higher temperatures generally mean higher potential energy output and better efficiency.,"- Geological Surveys
- Ministry of Energy
- Project-Specific Feasibility Studies"
,,,,Heat Extraction Efficiency,%,Percentage of thermal energy extracted from the reservoir relative to the theoretical potential.,"Efficiency metric for how effectively the reservoir is utilized, can impact sustainability of the well.","- Operator Data
- Academic or Specialist Geothermal Reports"
,,,,Geothermal Resource Assessment Coverage,%,Percentage of the country’s potential geothermal areas that have undergone resource assessments.,"Shows how well-explored the geothermal resource base is, indicating potential for future expansion.","- National Geological Surveys
- Geothermal Resource Atlases"
,,,"
Hydro",Reservoir Capacity,million m³,Total volume of water stored in hydro dams.,Indicates potential energy storage and water resource management capacity.,"- Hydropower Dam Operators
- Ministry of Water & Energy
- FAO AQUASTAT"
,,,,Seasonal Generation Variability,%,Fluctuation in hydro generation output between wet/dry seasons.,"Essential for grid planning and reliability, especially in regions with high rainfall variability.","- Utility Generation Statistics
- Regional Water Resource Management Authorities"
,,,,Catchment Area,km²,Geographical area feeding water into the hydro reservoir.,Useful for environmental impact assessments and understanding water availability.,"- National Hydrological Services
- GIS/Remote Sensing Data"
,,,,Water Use Efficiency,kWh/m³,Amount of electricity generated per cubic meter of water passing through turbines.,Reflects how efficiently water resources are being converted to power.,"- Dam Operator Reports
- Research Studies"
,,,,Dam Safety Index,Qualitative (index),"Composite measure of structural integrity, maintenance status, and risk of failure.","Critical for risk management, climate resilience, and public safety.","- National Regulatory Authorities (where they exist)
- International Hydropower Association guidelines"
,,,Wind,Average Wind Speed,m/s,"Typical wind speed measured at a standard hub height (e.g., 80m or 100m).",Key for identifying viable wind farm locations and potential energy yield.,"- Global Wind Atlas
- National Met Agencies
- Wind Resource Assessment Studies"
,,,,Turbine Efficiency,%,Efficiency of the wind turbine’s rotor and generator system under standard conditions.,Used to compare turbine technologies and estimate actual generation potential.,"- Turbine Manufacturer Data
- Project Operators
- Academic/Industry Papers"
,,,,Land Area Utilization,MW/km²,"Power density, i.e., how many MW are installed per square kilometer of wind farm land.","Helps understand spatial impacts, land use constraints, and capacity planning.","- Developer Plans
- National Spatial Planning Authorities"
,,,,Capacity Factor by Season,%,Wind capacity factor broken down by wet/dry or other relevant seasonal variations.,Helps operators plan power dispatch and grid operators manage seasonal demand/supply fluctuations.,"- Project Operators
- Wind Resource Monitoring Stations"
,,,,Maintenance Frequency,days/year,Average number of days per year wind turbines require scheduled or unscheduled maintenance.,Impacts availability and capacity factor; relevant for O&M cost projections and reliability assessments.,"- Operator Maintenance Logs
- Turbine Manufacturer Guidelines"
